id,year,popularity
SODRZXF12A6D4F89FE,1996,2
SOQUOUX12A8C14439E,2016,3
SODCJNH12AB018A3A9,2014,1
SOLWNAR12A67020BF5,1990,24
SOAQBLS12AC46878BF,2010,0
SOOMLMG12A8151BD28,2001,0
SOWZPSA12AB0187979,2008,25
SOFTYIA12AB0183B67,2009,0
SOZWZEH12AAF3B2578,1984,7
SOUAAMR12AB018C0B1,2005,0
SOBLYNT12A8C137046,2009,5
SOZEKTZ12AB0185274,2004,0
SOREPOR12AB01859E4,2010,0
SOKBQMV12A8C13A7E6,2008,11
SOTZGNC12AB0184FE8,1989,28
SOUBVIH12A8C137C89,2004,11
SOZAUAC12A8AE491A3,1991,62
SOHGWLG12A8AE484B4,1986,8
SOONUVQ12AB018889B,2006,25
SOCHIPS12AB017E780,2001,3
SOTKIHB12A8C13F653,2003,28
SOISSJU12A8C135C04,2005,7
SOCDVLZ12A8C13ECD2,2007,1
SORMKJM12AB017A911,2022,11
SOFSPBH12A8AE47733,2006,3
SOCXMVT12A67ADD8BA,1996,7
SOUPQHK12AB017CC62,2000,30
SOQFANJ12AB0182758,2010,30
SOKQQDO12A8C13471A,2021,24
SOIZLKI12A6D4F7B61,2006,74
SOZVZWP12A58A7BAD1,2009,12
SOMSGDK12A8C14032F,2006,0
SOKFHLV12AB0187A2F,2010,6
SOKTKHO12A58A7CDA5,2010,20
SOJFVGM12A8C13E2B2,2004,0
SOOYPCQ12A6D4FC50A,2009,0
SOOAUWY12A8C14301D,2002,0
SOYHZYO12A8C1391D8,1994,13
SOAOFAT12AB018975D,2009,1
SORWVEZ12A8C13C031,2015,26
SOUJQJI12AB0183C80,1964,23
SOZIQBP12A58A79F4E,2021,26
SOCPWFB12A6D4FA899,2020,14
SOZQJKU12A8C13A0C1,1979,18
SOAVTUX12AB0181896,2009,3
SONNXKA12AB018A294,2018,0
SOVCPCV12AAFF41B75,2004,6
SOXFDJD12AB018580A,2009,7
SOILNCG12A6D4F9D6C,1965,6
SOBHYLB12A8C1424C4,1968,26
SOFUNWZ12AB01831A9,2000,5
SOXDBMM12A6D4F9C58,1990,14
SOCBUSG12AB0180568,2000,30
SOCRSPK12A8C142FF8,2006,0
SOFPFTF12A8C14172C,2004,0
SOWDGVW12A8C13B9B7,2000,20
SOUGTLE12A8C14547F,2007,0
SONXKLQ12A8C141242,1999,0
SOLSXXH12A8C143166,1999,19
SOONMKD12A81C2413A,2011,58
SONHEUO12AF72A4792,2007,0
SORWVHN12A8C1459EA,1963,0
SONHNAC12A8C13A15A,2000,0
SOASNQV12A8AE48819,2008,21
SOFCFGG12A6D4FB5F8,2003,7
SOWKNZT12AC4688FC9,2009,0
SOLRVTS12A8C139D5B,2002,2
SOVLRKB12AC4687C3B,1997,2
SOGEWLT12AB018A185,1964,7
SOAGEUK12A8C137581,2018,23
SOWMHFS12AB017F85E,1995,0
SOIMAKW12AB01887BF,1938,1
SOUEARP12A58A7D643,2005,1
SOIVZJD12AB0182EDD,1996,0
SOKWBGF12AC3DFB033,2022,20
SOEFJXQ12A670200C8,2013,0
SOVTFUO12A6310D813,1979,18
SOHBHOE12AB01840A9,2007,0
SOWZVLJ12A58A7C2C8,2000,22
SOAORIB12AC9072D42,2006,0
SOVQFUY12AB018A77D,1996,0
SOJNRPI12AB018E779,2009,0
SOPDHNR12AB017BDB9,2006,11
SOFUDES12AB018E6C8,2000,4
SOWXZFY12A8C13807F,2001,15
SODOSRS12A8C144552,1977,10
SOKZIXZ12AAF3B2CEC,2008,0
SOGIUHH12A8C138CE0,2010,0
SOEKVHT12AB018D3D0,1988,16
SONYDNP12AB0186DCE,2016,0
SODICFT12AB01836D3,1967,1
SOZNTWU12A8C1453CF,2005,6
SOLRXEG12A8C13D5E7,1989,24
SOSJWQO12AC9070E86,2010,2
SOVAKME12AB01892EE,2009,0
SOUFDQA12AB0189758,2019,0
SOACDZP12AB0188A3C,1976,20
SOHRNFL12A6D4F9978,1995,33
SOQWNGK12AB01897E2,2006,0
SOGBVJQ12AB01834A1,2006,0
SOZEGIU12AB01895A8,2007,14
SOKHMJO12AB01832DA,1984,17
SOFOXRS12AB017BD2E,2012,15
SOUEILW12AF72A5701,1992,11
SOJDYFO12A8C141BA4,2011,2
SOEUWYJ12A8C144BE8,2017,0
SOFPBVZ12A8C135C19,2006,0
SOFXZWI12AB0180B8D,2009,0
SOQTINJ12A58A7DD36,2009,21
SOHGUVY12A6D4FD2D5,2007,0
SOWNKBE12A67FFB39F,2020,30
SOMXAFA12AB018C537,2010,1
SOBUVXZ12AC9075605,2009,0
SOQLXRZ12AC468BC3F,2021,0
SOUKRER12A8C13BDE1,2004,0
SOJJZTV12A6D4F6F6C,2020,0
SODHFOI12A58A78491,2018,2
SOEEANS12AB0184A71,1981,11
SOGBMQD12AB018F2A0,2010,4
SOLUWQF12AB017DBDC,2017,2
SOHVCVM12AB018E396,1999,2
SOPYDMS12A8C13676F,2004,0
SOCYLNE12A81C223ED,2007,38
SOEDFBN12AC9072EFE,2004,0
SOMPUMW12A8C13D654,1990,40
SOXQCMS12AB018591C,1993,4
SOCXULH12A8C13F551,2001,0
SOYKMPM12AB0188163,2001,0
SOBQJCE12AB0183BB3,2005,0
SOTMRJU12AC9074F64,2000,1
SOBBSDX12AAF3B33A9,2009,0
SOLWFYL12A8AE47B48,1973,18
SOZCOFD12AB0189AC5,2010,13
SOUAFUV12AB018A8FC,2007,0
SOZKPDV12A8C136A4E,2012,14
SOIIEVJ12AB018564E,2005,0
SOWOMMS12A8AE499EB,2015,26
SOPAZGG12AC3DF6DC1,2020,2
SODHEVC12A58A81DA0,2005,11
SOGMYFZ12AC468ACED,1992,17
SOKBIAI12AB0180E97,2021,32
SOXLEKB12A8C1338EE,1999,30
SOFUNPG12A58A7F017,2009,0
SOFNHOT12A6D4FB296,2001,7
SOEHDVV12A8C140A53,2003,7
SORTGBA12AB018A917,2017,0
SOOQECN12AC468957E,2009,0
SODPIYB12AB0184BFE,2006,0
SODRFQW12AB0186454,1961,0
SOXTXZQ12AB017D2C9,2009,14
SOIFVXW12A8C13FA2B,2009,0
SOFGOUH12A8C13A250,1999,7
SOYQWAD12A8C139316,2010,16
SOXMDLV12A6701E69E,2021,17
SOJYIEV12A8C130AAB,2022,15
SONIRES12AB01872D2,1996,10
SOVSJKJ12AB0183DB7,1994,11
SOISNKR12A8C139DFA,2003,0
SOIPFOS12AB0183721,2007,28
SOUYPSW12A8C138902,1996,0
SOMWYQW12AB018373C,2001,1
SOUOWYN12A8C13501F,2005,0
SOEEQKB12A8C143340,2004,24
SONCMDH12A58A7C500,2012,16
SOVRDND12A8C13AE30,2021,24
SOKCPLP12A6D4FB42E,2021,6
SOWWYDN12AB01825F7,2010,0
SOSAXES12AC3DF68E7,2009,2
SOAWYUA12A8C144D4D,2008,2
SOMSPYS12A6D4FEDBB,2003,0
SOGRPFI12A8C1349A6,1999,7
SOZXLAE12AB018AB74,2009,0
SORXPDE12A81C215EC,1997,0
SOMZVHH12AB017D9B3,2013,11
SOIILNW12AB017DBD6,2007,0
SOLDPPH12A6D4F7F89,0,0
SOHYFHW12AB01849D8,2007,0
SOBUDGS12AB0184923,2021,1
SOWIAKP12AC3DFA050,2018,38
SOBLYYF12AB018924E,2008,0
SOEBTAK12AB018BEA5,2007,6
SOSWNTH12AB017EA7C,2005,0
SOHNTPT12AB01835EF,2006,0
SOEKSLB12A6D4F56FE,2009,0
SOTSHSN12AC3DF4046,2011,16
SOCYCOU12AB018E69F,2000,3
SOPIEKE12AB01824E6,1977,20
SORMJGW12A8C144638,1987,3
SOYLBTJ12A8C13EB1A,1999,26
SOLYLAQ12AB018A0C1,2008,29
SOTRHHN12AB0188233,1990,25
SOLXGLN12AB017F58A,1985,2
SOALUMD12AB0187F8D,2009,2
SOUKTVZ12AB017E93B,1997,8
SOHKOMM12A6D4F7114,1997,20
SOBKMDD12A58A7F476,1989,17
SOTGWOK12AB0180413,2006,0
SOHAFCN12AF72A2AEE,1995,0
SOJUPRU12A58A7A5B6,2002,8
SODGKWB12A8C13F612,2000,4
SOLENTG12AB018ADA3,2006,2
SOEKCXN12A8C13FF8C,1991,9
SOXOUJH12A6D4FC39B,1981,38
SOKXVOM12AB0182BED,2009,0
SOFLKBO12A8C14327A,2010,0
SOBOFKI12A8C134832,1974,11
SODYLCG12AB018484B,2003,2
SOYHQFQ12AF72A1440,2006,4
SOQJZSD12A58A7B143,2004,1
SOJISLN12A8C135408,2008,3
SOUHNGJ12AB0182844,2005,1
SOGYDSV12A8C142A33,2004,0
SOCYCFF12AB0188824,2015,12
SOOFHNG12A6D4FAB3A,2007,23
SOEHEFW12A8C143C20,2008,1
SOROPBZ12A6D4FBC75,2006,4
SOMMLVL12A8C132438,1977,4
SOVQONJ12A8C139C4B,1996,17
SOTAMUT12A8C13757E,2007,1
SOJGNFC12AB017DAB8,2012,0
SOZEERF12A58A7C6F6,2005,2
SOHGMJH12AB0187130,2009,24
SOIMGHD12AB0187CD9,2001,46
SOIMTOV12A8C135A36,2007,23
SOPOKQJ12AAA8C650E,1991,31
SOXAAEC12AC90710AE,2000,0
SOBZKOB12AB0185B85,2009,0
SOJFQQD12AB018353A,2007,0
SOPBQJF12AC468A49A,1994,0
SOMXCXZ12A58A7B343,1997,3
SOKZCJZ12A8C13972F,1965,0
SOBEYJM12AB0189C98,1992,0
SOHMYGA12AB017F997,2022,11
SOPAUOJ12AB0188DFB,2019,2
SOYVAAQ12A6D4F8026,1993,8
SOYJTYX12A8C13C5A2,2008,0
SOTERZM12A8C1394F6,2006,0
SOSVAPZ12A58A7E7A2,2004,35
SOVPKKS12AC4687684,1999,17
SOWZTZO12A8C13DD5E,2002,5
SOYBQPY12A8C144A7A,2016,5
SOIAMCP12AAF3B2F72,2020,17
SOCOQRG12A8C13C62C,1979,1
SOFZQNM12AB0183C50,2003,0
SODANIA12AF729BC28,2001,2
SOCSLFL12A6701C69A,2014,12
SOMFRXG12A8AE48196,2008,0
SOZRNIB12A58A793A3,2001,2
SOOBUUM12A8C13696A,1993,8
SOKLCOF12A8C134657,1992,0
SOIAMVN12A8C13B750,2006,0
SOSRJWL12AB0181C7D,1997,5
SOVTPTM12A8C1323B0,1989,8
SONGBCL12A8C1410C2,2020,38
SOGNRMY12AB01856F8,1999,19
SOKVBVL12A8C13908F,2020,32
SOGWIBP12AB017E424,1993,24
SOHIHOQ12AB018A613,2008,0
SOCTYAI12AB018E0DA,2005,0
SOANHCK12AB0182623,1984,28
SOKHLYR12AF72A2F91,2015,24
SOTUNNV12AB01854CD,2021,19
SOFTCFD12A8C14546C,2007,0
SOKPFAL12AC90979AB,2021,17
SOSEOSD12A58A7CFDC,2007,25
SODSHKO12A6D4FB716,2005,4
SOCXMKN12A8C13B075,2014,1
SOUCFFN12A58A7A5D5,1995,0
SOOKSDQ12AB0184DC3,2012,29
SOQCWVH12AB0185DA5,1982,24
SOHNLOW12AB01867F8,2007,0
SOAFKTW12AB018A7A2,2003,1
SOEHUEK12AB018471E,2003,2
SOLXOUI12AC468DBE2,2006,5
SOLGUGY12AB01897BE,2009,8
SOADCCE12A6D4FA324,2002,13
SOBULBX12A81C22BF0,1992,0
SOHDXPG12AAA8C5AE7,2006,0
SOQTUQL12AB01839D7,2021,13
SOAPLUZ12A6D4F9CD2,1999,5
SOKGDCA12AC9097667,2012,0
SOFBOHT12A58A7C059,1999,2
SONBDBW12AF72A4E6C,2005,0
SOPHPDS12AB018821C,2009,0
SOFRPUB12A8C1355D6,1993,1
SOJCUFH12AB0186BF1,2008,20
SOIYTYS12A8C134C86,1984,0
SOHAGSO12AB0185C31,2016,13
SOKSASF12A58A7A08B,1999,1
SOBBKHN12AC468BC73,2009,0
SOEVAMO12AC90716AD,2009,0
SONLJKK12A8C1425F9,1975,35
SOBTTZR12A6D4FB6D0,2004,2
SOFJHBV12A6D4F446A,2002,4
SOUHAOT12AC9071AC4,2010,0
SOYBKEI12AB018884E,1996,5
SOWPNGV12AB0189556,2002,1
SOELPYX12A8C141731,1995,0
SOUGIYB12A8C13FBF1,2000,6
SOQZOSE12AB01898B0,1995,1
SOGJQKY12A58A77A8D,1980,28
SOZFUSK12AB01827F9,2004,2
SOPMAQD12A8C141E57,1957,0
SOXAUES12A8C133821,2003,0
SOQOPEK12A8C140F49,1996,9
SOTLUIS12AC468BB74,2010,0
SOXODWS12AC4689066,2016,22
SOKFNSF12A8C13C425,2012,39
SONMIAH12A6D4F73C1,2021,35
SOHWKRB12AB017EB39,2008,0
SODFRDR12A8C13CAE4,2020,4
SOBCOUT12A58A7A52A,2009,0
SOQBJHP12A6D4F7ED9,1998,0
SOHVOAF12A8C143ED2,2009,19
SOBUVYW12AB0184EC5,2019,23
SORJPQM12A8C1338BB,1997,0
SOWYEWY12A67020333,2011,5
SOJOAOZ12A58A7D7B6,1995,19
SOIQGXP12A6D4F8C27,2002,16
SOVEIBB12A8C13E5C3,2006,78
SORYMFO12AB0185343,2006,1
SOYDMDZ12A8C13B65F,1999,0
SOGYZOF12A67020D72,2014,4
SOWTOPX12AF72A7A17,2010,5
SOLDKTL12AC3DF99EC,2006,67
SOAXHCC12A8C14330F,2004,22
SOSSSPO12A8C135F1A,1997,5
SOYYAKA12A58A7D409,2019,0
SOXHBWK12A8C133D3D,2009,1
SOPGSVK12A8C13CD10,2007,1
SOTWSZN12AB0187523,2008,0
SONWBTR12A6D4FCFFE,1991,4
SOOKZLP12A8C13F561,1999,6
SOEMYLB12AB0182CFA,1998,35
SODKEQI12AB018D636,2018,29
SONLIAJ12A8C133459,1979,34
SOWNJJD12A6D4F9E34,2005,0
SOGHGOM12A67ADC18F,2003,30
SOHLAYJ12A58A7EC8D,1998,0
SOMNUEC12A8C13D9D3,1970,10
SOPPACU12AB017EA7E,1968,3
SOULUVY12A8C13A6CE,2007,10
SOLLRRJ12AB01889BF,1962,0
SOLIQZK12A6D4FB91D,2008,6
SOUKQFT12A58A7B3CA,1995,2
SOEBXBQ12A8AE47F49,0,0
SONPLPJ12AC4685296,1997,0
SOCVTUH12AC90978F1,2006,0
SODANTC12A8C13438C,2009,40
SOUPPFT12AB01849D5,2008,0
SOKSBCY12AB01814A4,2021,42
SORYFNI12AF72A2B2C,1985,17
SODZLWS12A8C136414,2018,17
SOMKCIK12AB018D1D2,1991,0
SOCFPZG12AB0181461,2003,9
SOXHGFE12AAF3B1DC8,2009,13
SOERWLL12AB0189813,2008,0
SOAPEEL12A81C21ADE,1993,5
SOEUTRM12AB017E140,1991,0
SOFPKRM12AC3DF6764,2002,0
SOJLJIE12AB017E507,2008,53
SOXFMSW12AB0186F4F,2001,21
SOEPZJJ12A58A7C130,1996,7
SOQUORP12AB018BD93,2010,0
SOAZHQF12A8C13460C,2021,0
SOHJIJB12AC468829E,1993,11
SOCPSMO12A58A7C691,1985,1
SOOOTTC12A8C13279E,2001,1
SOTRCLJ12AB0182F40,2005,0
SOXEOQW12A58A7DB48,1999,0
SOZNYHL12A58A7F979,1994,24
SOJQNWK12AB0183758,1971,3
SOQXSVW12A58A7A419,1993,0
SOASNLL12AB018129B,2009,3
SOSWCOP12AB01864AF,2000,0
SOCDLSK12AB018168E,1996,0
SOPIRTQ12A8C131DF9,1988,5
SOAYEQY12A8C140810,1983,4
SOCIUEE12A6D4F95D1,2006,4
SOLNCDE12AC468EC62,2009,1
SOLOLMU12A8C133FBB,1989,20
SOGYMWC12A6D4FBAF2,1989,18
SOJOUBX12AB018A61A,2008,0
SOUMZVI12AB018567C,2002,5
SOQRMSV12A8C13DD92,2021,9
SORTPHZ12A8C13D374,2007,5
SOWSCTG12A6D4FA919,2004,1
SOVSHWF12AF72A75EF,2009,33
SOPSCBU12AB018B6DC,2022,30
SOLXAOA12A8C13520A,2020,0
SOKEPVI12A6701E91E,2000,0
SOLEIOS12AB018372B,2010,0
SOKWEYI12AB018B712,1958,41
SODJKTV12A8C137456,1976,8
SOIDKSM12A8C13C275,2015,0
SOJOGRW12AB0183B0C,2000,0
SONCRFH12A8AE495EF,2022,38
SOIASMV12AB0182DC0,1990,3
SOQOSFA12AC960D97D,2003,34
SOUTCRW12A8C13D937,1992,44
SOMMAMA12A8C13F9E7,2010,0
SOHCGGR12A58A78585,1993,0
SOMYHTA12A6D4FB87D,2004,8
SOXFWZI12A58A7D561,2009,3
SORRHHE12A58A7EAC1,2020,19
SOFLNBJ12AB017EC59,1993,7
SOEOYCV12A8C13CC6F,2022,55
SOWNYEK12A6701F046,2004,2
SOHSQVS12A8C1369F2,1973,2
SOQTFZH12AB0188264,2010,1
SOKVJQB12A6D4FD0CE,2007,5
SOEXJDG12A8C137AE8,2001,0
SOVTUWX12A58A7E944,1995,21
SODMXRL12A58A7E9C6,2005,0
SOCZYSK12A8C135DB0,2008,5
SOLZZPQ12A8C130C70,1998,0
SOYBSGS12A8C140EBF,2007,8
SOEUZAC12AB018C2B0,1962,78
SOVQEOZ12AB0181472,1962,0
SOKQWLL12AB01861F7,2008,29
SODEWQE12A8C143E6A,1986,0
SOGAMBY12A8C140D10,1996,6
SOPXOYP12AB01883DE,2009,6
SOKJITL12AB017E7FF,2008,46
SOUUKDE12AB018956E,2000,0
SOFSFXP12A8C13F077,2005,0
SOKSVVV12AB0181165,2004,13
SOSPFEP12AC468825B,1960,0
SOGBONS12AB0181C65,2016,0
SOPILXJ12AB0186E27,2017,1
SOIXFFL12A8BED74A0,2004,0
SODQPDV12AC468903A,2006,13
SOLCSRR12AB017E36E,2007,2
SOIVRIF12AB0186852,2005,1
SOGDLRA12AC468F00B,1996,6
SOOYBRW12A8C13C277,2000,9
SOPTRXF12A8C135387,1981,14
SORWVBQ12A8C1410D7,2002,16
SOMMLUE12AB0187FCC,1986,0
SOXNMRG12AB0183958,2008,0
SOFDJER12A6D4FD361,2017,5
SOZJIWO12AB0189335,2000,0
SOGWUAE12A6D4FCE22,1990,1
SOALPUI12AB018A7FC,2009,26
SOGEMXW12A8C13CC88,2007,20
SOGEIFG12AB018E42D,2007,0
SOPYTTP12A81C22D88,2017,19
SODHTHF12AB0184F53,1958,0
SOHZUGI12AB0188802,2005,0
SOWHFID12A8C133F6B,1988,8
SOROXGS12AB0180D21,1985,1
SOAOCCQ12AB0183F50,1996,0
SOILDHG12AB0188DDF,1991,35
SOAQDXZ12A58A7FFBC,2013,12
SORAWOD12A8C142B3F,2008,0
SOHKXIB12A81C207F1,2001,18
SODPBUM12A8C142299,1970,18
SOPGVOO12A8C13E37D,2020,10
SOOYFUC12A8C13F122,2011,0
SODTWEQ12A8C140FDB,1976,2
SOLWSUT12AB0188BE5,2009,1
SOQHNAC12A81C22229,1973,4
SOIHCDS12AC4687731,1971,3
SOCIVUH12A8C138A99,2000,6
SONKSSI12AB0188CB2,2013,25
SOZICVP12AC3DF5451,1975,0
SOTNLCJ12AB018FA13,2011,4
SOXQOHL12AB017D69E,2009,0
SOWYVEO12AB017FBDB,1998,7
SOMXQEF12AB0181AF0,2010,30
SOYTZKN12A6D4FB921,2006,0
SOKFQSX12AB0188CEE,2008,0
SOTKEPE12AB0188847,2004,1
SONSDBD12A8C13CC4B,1993,32
SOZAVXS12A8C134305,1992,1
SORMUQC12A8C13C1D7,1996,22
SODBXDN12AB018194E,2017,9
SOBHBII12A6D4F9FFA,2020,38
SOGJGNM12AB0188BC3,2017,23
SOCVDDL12A6D4F9A6C,2004,1
SOKBKBA12A8C13338A,2020,2
SOXJRPT12A8C13D0FD,2001,0
SOIJWMK12AC9073334,1991,1
SOJIMUS12AB0181194,2002,1
SOPEDTR12AB0185B7A,2008,20
SOAEYFM12AC3DF51A2,2009,0
SOTDWOU12A8C137EDE,2000,0
SONBWUH12A8C1421BB,2009,1
SOGXQWP12A58A7D7C8,2005,0
SOERSNE12AB018DCF3,2018,5
SOILAJR12AC3DFB3BA,1997,4
SOHEQWN12AB0183127,2009,1
SOCYSYD12AAF3B2F7B,1966,3
SOCKHZY12A8C142F79,1993,0
SOEKGVX12AC39275FD,1992,5
SOQVFVG12AAF3B3FA5,2007,1
SOZHWVN12AB017FAA2,1991,4
SOQXPGC12AB017E91A,2009,0
SOMARKF12A8C139E6A,1980,0
SOEOUCQ12A6BD4F935,2001,7
SOEZRMA12A58A7D1C3,1981,9
SOMKNJK12A8C145989,1995,0
SOETWIB12A58A7A90D,1968,1
SOALNDY12AB0182A18,2017,3
SOVJFWT12A6D4FA5D4,2003,2
SOCYGVT12A8C13ED02,1997,4
SOGBFJS12AB0183AB7,2009,14
SOQGFFB12A6D4F9C7F,2005,5
SOIOOWC12CF530D524,1977,29
SOGZXGR12AB017F004,1999,0
SORIWJQ12A8AE4778E,2006,0
SOFHSVX12AB0180161,2005,6
SOYBGAI12AC468AA34,1995,0
SOINLKW12A6D4F8F83,2017,13
SOJPEUX12A8C138B18,1998,29
SORMAAO12AC9075357,2009,1
SOONMID12AB0180F92,2000,3
SOIPXAK12A8C133A08,2000,1
SOWRAQJ12A8C146BF1,1995,2
SOMUCDN12A6D4F8555,1969,31
SOVUTTU12AC468D67E,1996,3
SOVJWKQ12A8C145462,2005,0
SOPSYTV12AB01807DB,1985,67
SOJABTU12A58A7E1CA,2013,81
SOAPRLL12AB0183EF2,2009,5
SOKRRQW12A8C13F94B,1976,4
SOHHMXP12AB018264D,2001,13
SOJTLMJ12A58A80212,2011,0
SOKEEIT12A58A7E185,2010,25
SOAFZGF12AB01823ED,1995,9
SOLUCSP12AB0183B9E,2008,5
SOGPXXQ12AB0180CC6,1993,4
SOLWTDG12A6701E978,1989,58
SOORKEP12A6D4FBB59,1998,0
SOWJAVO12AB0180222,2009,0
SOHTCQC12A6D4F49CA,2003,0
SOKUXFH12A8C145EF7,2008,8
SOPUUCZ12AB0180B3B,2005,0
SOOGGUS12A8C138B27,1998,29
SOASAPT12AB01836BB,2019,0
SONUVBD12AB0186112,2006,0
SOZNFIN12A8C13EDBA,1994,0
SOPCBZF12AB01836CC,2008,0
SOAVVDB12A8C136842,1970,8
SORGQGD12AB0185998,2002,1
SOGJUBN12AB017CF98,2002,0
SOOEQIN12A8C13B8EF,1998,0
SOFEOPN12AC468D446,1999,6
SOJIDXQ12A58A7EC7A,2016,1
SOTREAP12A8AE46FE2,2002,0
SOWXEIB12AC90756AC,2016,0
SOZEQVC12AC468E38B,2005,8
SONVMQR12AB018688B,2019,79
SOFESEK12AB017FA56,2003,13
SOJMVGG12AB018AF5C,2008,0
SOMHHCX12AC468AB2E,2012,14
